Region,Year,Chinook,Sockeye,Coho,Pink,Chum,All,notesRegCode
SSE,1886,0,5,0,0,0,5,
SSE,1887,0,155,0,0,0,155,
SSE,1888,0,224,16,0,0,240,
SSE,1889,0,182,11,92,0,285,
SSE,1890,0,251,42,0,0,292,
SSE,1891,0,274,24,0,0,298,
SSE,1892,0,207,11,8,0,226,
SSE,1893,0,189,1,187,0,377,
SSE,1894,0,253,5,529,0,788,
SSE,1895,3,408,8,606,0,1026,
SSE,1896,4,989,192,996,0,2181,
SSE,1897,5,791,161,2218,7,3182,
SSE,1898,9,708,132,673,0,1521,
SSE,1899,12,797,139,1545,1,2493,
SSE,1900,0,763,84,2040,2,2889,
SSE,1901,3,264,107,1049,0,1423,
SSE,1902,4,256,34,1547,0,1840,
SSE,1903,0,230,125,669,0,1024,
SSE,1904,4,1143,242,2381,102,3873,
SSE,1905,9,1009,184,2060,343,3605,
SSE,1906,3,981,169,3859,473,5485,
SSE,1907,17,808,180,8055,437,9499,
SSE,1908,43,731,186,7120,616,8696,
SSE,1909,34,723,128,6784,249,7919,
SSE,1910,66,978,235,6832,1121,9233,
SSE,1911,80,1032,355,15252,1141,17859,
SSE,1912,152,808,517,17141,2685,21303,
SSE,1913,191,392,157,18098,1384,20221,
SSE,1914,133,826,225,8433,3783,13400,
SSE,1915,119,781,332,17992,2385,21610,
SSE,1916,39,596,501,8608,2443,12187,
SSE,1917,115,657,633,16706,3786,21898,
SSE,1918,122,789,640,20021,2686,24258,
SSE,1919,121,1240,690,16789,4120,22960,
SSE,1920,81,941,272,9844,4344,15482,
SSE,1921,54,329,159,4631,609,5783,
SSE,1922,79,673,554,18494,2330,22131,
SSE,1923,140,1007,585,28786,2437,32955,
SSE,1924,49,1065,482,19896,4375,25867,
SSE,1925,106,682,462,22660,4454,28365,
SSE,1926,63,832,446,19268,2578,23187,
SSE,1927,69,573,241,2581,620,4084,
SSE,1928,145,454,907,18062,2830,22398,
SSE,1929,76,624,850,13000,1032,15582,
SSE,1930,220,780,1285,21228,967,24480,
SSE,1931,297,883,722,13567,1671,17140,
SSE,1932,315,626,484,14784,2724,18933,
SSE,1933,341,412,692,15245,1650,18341,
SSE,1934,200,456,1076,35204,1068,38004,
SSE,1935,36,736,1198,22982,2917,27868,
SSE,1936,399,1215,1094,37428,3726,43863,
SSE,1937,609,1056,867,20988,3042,26562,
SSE,1938,485,1072,1359,20207,2815,25938,
SSE,1939,152,1098,714,17453,1843,21261,
SSE,1940,57,851,1107,18493,2192,22699,
SSE,1941,93,1008,1563,37016,1592,41273,
SSE,1942,378,954,1414,19610,3156,25511,
SSE,1943,146,533,1273,13165,3136,18253,
SSE,1944,152,823,940,9949,3048,14913,
SSE,1945,257,826,1989,16294,1780,21147,
SSE,1946,298,402,1833,21318,2402,26253,
SSE,1947,319,250,997,10681,2122,14368,
SSE,1948,266,244,1324,12770,3094,17699,
SSE,1949,257,221,1364,33981,1953,37776,
SSE,1950,187,246,1031,7737,3340,12541,
SSE,1951,211,281,1257,16393,1807,19948,
SSE,1952,263,457,637,6335,2498,10191,
SSE,1953,204,606,525,3798,1466,6599,
SSE,1954,169,440,615,6462,988,8673,
SSE,1955,151,234,467,5248,388,6488,
SSE,1956,107,337,366,10076,1535,12421,
SSE,1957,121,501,488,4683,1428,7221,
SSE,1958,138,541,500,6460,1169,8808,
SSE,1959,150,364,354,3569,523,4961,
SSE,1960,124,211,294,1542,521,2691,
SSE,1961,100,212,399,3875,1044,5630,
